model,condition,probe_count,top_1,top_3,top_5,top_10,mrr,top_1_drop_from_clean,mrr_drop_from_clean
casia-webface,brightness_0_60,999,0.2012012012012012,0.2882882882882883,0.32232232232232233,0.3993993993993994,0.2684275881494621,0.02602602602602605,0.028660282748536214
casia-webface,brightness_1_40,999,0.16516516516516516,0.24824824824824826,0.2952952952952953,0.3633633633633634,0.2332043753103752,0.06206206206206208,0.06388349558762313
casia-webface,clean,999,0.22722722722722724,0.31431431431431434,0.3563563563563564,0.42342342342342343,0.2970878708979983,0.0,0.0
casia-webface,gaussian_blur_radius_2,999,0.15515515515515516,0.22322322322322322,0.2672672672672673,0.33133133133133136,0.2164087920060635,0.07207207207207209,0.08067907889193482
casia-webface,resize_down_64_up_250,999,0.13713713713713713,0.19519519519519518,0.24324324324324326,0.3203203203203203,0.1977388460273062,0.09009009009009011,0.09934902487069211
vggface2,brightness_0_60,999,0.7997997997997998,0.8848848848848849,0.9109109109109109,0.933933933933934,0.8505694935189256,0.02302302302302306,0.017102697382940013
vggface2,brightness_1_40,999,0.7937937937937938,0.8818818818818819,0.9029029029029029,0.9419419419419419,0.8450179129935171,0.02902902902902904,0.022654277908348508
vggface2,clean,999,0.8228228228228228,0.8958958958958959,0.9219219219219219,0.9459459459459459,0.8676721909018656,0.0,0.0
vggface2,gaussian_blur_radius_2,999,0.7657657657657657,0.8708708708708709,0.8948948948948949,0.9269269269269269,0.8242450600389661,0.0570570570570571,0.04342713086289951
vggface2,resize_down_64_up_250,999,0.7417417417417418,0.8518518518518519,0.8838838838838838,0.918918918918919,0.805267007191208,0.08108108108108103,0.06240518371065762
