model,condition,probe_relative_path,true_identity,true_identity_rank,reciprocal_rank,rank_1_similarity,true_identity_similarity,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10
casia-webface,brightness_0_60,probe/Aaron_Sorkin/Aaron_Sorkin_0002.jpg,Aaron_Sorkin,18,0.05555555555555555,0.6714890003204346,0.5708531737327576,Ann_Veneman,Sarah_Jessica_Parker,Vanessa_Incontrada,Ian_Thorpe,Cameron_Diaz,Nia_Vardalos,Jennifer_Lopez,Elsa_Zylberstein,Martha_Bowen,Meryl_Streep
casia-webface,brightness_0_60,probe/Abdel_Nasser_Assidi/Abdel_Nasser_Assidi_0002.jpg,Abdel_Nasser_Assidi,1,1.0,0.8336752653121948,0.8336752653121948,Abdel_Nasser_Assidi,Abdullah,Alvaro_Uribe,Bob_Geldof,Joseph_Estrada,Mark_Warner,Alejandro_Toledo,Masum_Turker,Kenneth_Evans,Bruce_Weber
casia-webface,brightness_0_60,probe/Abdullah/Abdullah_0002.jpg,Abdullah,1,1.0,0.8005455732345581,0.8005455732345581,Abdullah,Mikhail_Kasyanov,Alejandro_Toledo,Paul_Bremer,Sourav_Ganguly,Jack_Grubman,Mike_Weir,Carson_Daly,John_Kerry,Branko_Crvenkovski
casia-webface,brightness_0_60,probe/Abdullah_Gul/Abdullah_Gul_0002.jpg,Abdullah_Gul,19,0.05263157894736842,0.8221516609191895,0.7478361129760742,Pete_Sampras,Edward_James_Olmos,Abdullatif_Sener,Heizo_Takenaka,Bernard_Lord,Aung_San_Suu_Kyi,Paul_Bremer,Hu_Jintao,Tom_Daschle,Andrew_Cuomo
casia-webface,brightness_0_60,probe/Abdullah_al-Attiyah/Abdullah_al-Attiyah_0002.jpg,Abdullah_al-Attiyah,39,0.02564102564102564,0.7886291742324829,0.6902601718902588,Jorge_Valdano,George_Pataki,Ruben_Studdard,Eduardo_Duhalde,Jesse_Jackson,Alejandro_Toledo,Donald_Evans,Nelson_Mandela,Bob_Hope,George_Lopez
casia-webface,brightness_0_60,probe/Abdullatif_Sener/Abdullatif_Sener_0002.jpg,Abdullatif_Sener,247,0.004048582995951417,0.7761667370796204,0.49181193113327026,Kim_Ryong-sung,Nestor_Kirchner,Noah_Wyle,Bob_Colvin,Robbie_Fowler,Robert_De_Niro,Jason_Jennings,Pedro_Solbes,George_P_Bush,Taufik_Hidayat
casia-webface,brightness_0_60,probe/Abel_Pacheco/Abel_Pacheco_0002.jpg,Abel_Pacheco,40,0.025,0.7672343254089355,0.6681971549987793,David_Trimble,George_Robertson,Hun_Sen,Howard_Schultz,Billy_Sollie,Tom_Craddick,Jose_Manuel_Durao_Barroso,Jean-David_Levitte,John_Rosa,Tim_Floyd
casia-webface,brightness_0_60,probe/Adam_Scott/Adam_Scott_0002.jpg,Adam_Scott,541,0.0018484288354898336,0.784881591796875,0.45702695846557617,Joe_Torre,Mike_Weir,George_P_Bush,Harry_Schmidt,John_F_Kennedy_Jr,Mikhail_Kasyanov,Daniela_Hantuchova,Alejandro_Toledo,Gregory_Geoffroy,Gary_Forsee
casia-webface,brightness_0_60,probe/Adolfo_Aguilar_Zinser/Adolfo_Aguilar_Zinser_0002.jpg,Adolfo_Aguilar_Zinser,187,0.0053475935828877,0.7618051767349243,0.5016731023788452,David_Nalbandian,Jose_Manuel_Durao_Barroso,Frank_Solich,Carlo_Ancelotti,Celso_Amorim,Dan_Wheldon,Nanni_Moretti,Ann_Veneman,Bud_Selig,Michael_Phelps
casia-webface,brightness_0_60,probe/Adolfo_Rodriguez_Saa/Adolfo_Rodriguez_Saa_0002.jpg,Adolfo_Rodriguez_Saa,142,0.007042253521126761,0.7249140739440918,0.45977354049682617,Gloria_Macapagal_Arroyo,Rob_Schneider,Patti_Labelle,Jamling_Norgay,Nancy_Pelosi,Goh_Kun,Sophia_Loren,Gloria_Allred,Tracee_Ellis_Ross,Heidi_Fleiss
