model,condition,probe_relative_path,true_identity,true_identity_rank,reciprocal_rank,rank_1_similarity,true_identity_similarity,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10
vggface2,full_image,probe/Aaron_Sorkin/Aaron_Sorkin_0002.jpg,Aaron_Sorkin,1,1.0,0.6113898754119873,0.6113898754119873,Aaron_Sorkin,Bill_Callahan,Tom_Cruise,Peter_Bacanovic,Greg_Rusedski,Justin_Guarini,Ian_Thorpe,Kurt_Russell,Michael_Douglas,Prince_Harry
vggface2,full_image,probe/Abdel_Nasser_Assidi/Abdel_Nasser_Assidi_0002.jpg,Abdel_Nasser_Assidi,1,1.0,0.8998416066169739,0.8998416066169739,Abdel_Nasser_Assidi,Luciano_Pavarotti,Marwan_Barghouthi,Alejandro_Avila,Osama_bin_Laden,Kifah_Ajouri,Bob_Geldof,Colin_Jackson,Mohammad_Khatami,Branko_Crvenkovski
vggface2,full_image,probe/Abdullah/Abdullah_0002.jpg,Abdullah,1,1.0,0.8115003108978271,0.8115003108978271,Abdullah,Albert_Costa,Juan_Pablo_Montoya,Mike_Weir,Robert_Kocharian,Benazir_Bhutto,Arianna_Huffington,Michael_Douglas,Bobby_Goldwater,Alvaro_Uribe
vggface2,full_image,probe/Abdullah_Gul/Abdullah_Gul_0002.jpg,Abdullah_Gul,1,1.0,0.9172232151031494,0.9172232151031494,Abdullah_Gul,Saddam_Hussein,David_Wolf,Alejandro_Avila,Mikulas_Dzurinda,Art_Hoffmann,Marwan_Barghouthi,Pedro_Solbes,Oswaldo_Paya,Robert_De_Niro
vggface2,full_image,probe/Abdullah_al-Attiyah/Abdullah_al-Attiyah_0002.jpg,Abdullah_al-Attiyah,1,1.0,0.770022451877594,0.770022451877594,Abdullah_al-Attiyah,Augusto_Roa_Bastos,Jorge_Batlle,Omar_Sharif,S_Jayakumar,Ralph_Lauren,GL_Peiris,Ismail_Merchant,Saeb_Erekat,Spencer_Abraham
vggface2,full_image,probe/Abdullatif_Sener/Abdullatif_Sener_0002.jpg,Abdullatif_Sener,1,1.0,0.693736732006073,0.693736732006073,Abdullatif_Sener,Robert_De_Niro,Sam_Torrance,Saddam_Hussein,Abdullah_Gul,Alvaro_Uribe,Art_Hoffmann,Edward_James_Olmos,Kent_Rominger,Gerry_Adams
vggface2,full_image,probe/Abel_Pacheco/Abel_Pacheco_0002.jpg,Abel_Pacheco,1,1.0,0.7929486036300659,0.7929486036300659,Abel_Pacheco,Arye_Mekel,Franko_Simatovic,Spencer_Abraham,Jesse_Jackson,Larry_Brown,Bobby_Goldwater,Alvaro_Uribe,Gregory_Geoffroy,Li_Peng
vggface2,full_image,probe/Adam_Scott/Adam_Scott_0002.jpg,Adam_Scott,35,0.02857142857142857,0.658847451210022,0.4090207815170288,Mike_Weir,Marco_Antonio_Barrera,Martina_Hingis,Daniela_Hantuchova,Nadia_Petrova,Anna_Kournikova,Conchita_Martinez,Ben_Curtis,Magui_Serna,Padraig_Harrington
vggface2,full_image,probe/Adolfo_Aguilar_Zinser/Adolfo_Aguilar_Zinser_0002.jpg,Adolfo_Aguilar_Zinser,1,1.0,0.6869751811027527,0.6869751811027527,Adolfo_Aguilar_Zinser,Bill_Gates,Celso_Amorim,Jean-Claude_Juncker,Ian_Thorpe,Tony_Bennett,Georgi_Parvanov,Bill_Sizemore,Paul_McCartney,Mitoji_Yabunaka
vggface2,full_image,probe/Adolfo_Rodriguez_Saa/Adolfo_Rodriguez_Saa_0002.jpg,Adolfo_Rodriguez_Saa,13,0.07692307692307693,0.5536234378814697,0.4382972717285156,Lily_Tomlin,David_Kelley,Heidi_Fleiss,Alejandro_Toledo,Jackie_Chan,Juan_Valencia_Osorio,Frank_Stallone,Johnny_Depp,Ozzy_Osbourne,Tim_Allen
vggface2,full_image,probe/Adrian_McPherson/Adrian_McPherson_0002.jpg,Adrian_McPherson,8,0.125,0.645202100276947,0.505854606628418,LeBron_James,John_Allen_Muhammad,Isaiah_Washington,Anna_Kournikova,Kirk_Johnson,Justin_Gatlin,Chris_Byrd,Adrian_McPherson,John_Stallworth,Alan_Mulally
vggface2,full_image,probe/Adrian_Nastase/Adrian_Nastase_0002.jpg,Adrian_Nastase,1,1.0,0.6414053440093994,0.6414053440093994,Adrian_Nastase,Colin_Powell,Larry_Lindsey,Elin_Nordegren,Saeb_Erekat,Alexandra_Stevenson,Alexander_Losyukov,Nestor_Kirchner,Spencer_Abraham,Alexander_Rumyantsev
vggface2,full_image,probe/Ahmad_Masood/Ahmad_Masood_0002.jpg,Ahmad_Masood,1,1.0,0.6051410436630249,0.6051410436630249,Ahmad_Masood,James_Blake,Todd_Haynes,Denise_Johnson,Jim_Carrey,Kirk_Johnson,Sourav_Ganguly,Jennifer_Lopez,Elijah_Wood,Mark_Heller
vggface2,full_image,probe/Ahmet_Necdet_Sezer/Ahmet_Necdet_Sezer_0002.jpg,Ahmet_Necdet_Sezer,1,1.0,0.7682521939277649,0.7682521939277649,Ahmet_Necdet_Sezer,Silvio_Berlusconi,Igor_Ivanov,Valery_Giscard_dEstaing,John_Negroponte,Benjamin_Netanyahu,Costas_Simitis,Vladimir_Putin,Bob_Hope,Herb_Sendek
vggface2,full_image,probe/Aitor_Gonzalez/Aitor_Gonzalez_0002.jpg,Aitor_Gonzalez,1,1.0,0.8217403292655945,0.8217403292655945,Aitor_Gonzalez,Justin_Leonard,Mike_Weir,Guillermo_Coria,Jim_Furyk,Adam_Scott,Ben_Curtis,Greg_Owen,Padraig_Harrington,Jim_Carrey
vggface2,full_image,probe/Al_Davis/Al_Davis_0002.jpg,Al_Davis,1,1.0,0.6945282220840454,0.6945282220840454,Al_Davis,Peter_Harrison,Vaclav_Havel,Tim_Allen,John_Timoney,Roy_Williams,George_Pataki,George_Robertson,Arlen_Specter,Gary_Carter
vggface2,full_image,probe/Alan_Ball/Alan_Ball_0002.jpg,Alan_Ball,1,1.0,0.9223201274871826,0.9223201274871826,Alan_Ball,Jean-David_Levitte,Steve_Spurrier,Paul_McCartney,Alvaro_Noboa,Joerg_Haider,David_Heymann,David_Leahy,Vaclav_Havel,Tim_Floyd
vggface2,full_image,probe/Alan_Mulally/Alan_Mulally_0002.jpg,Alan_Mulally,1,1.0,0.7491747140884399,0.7491747140884399,Alan_Mulally,George_Pataki,Ron_Howard,Richard_Gephardt,Guido_Westerwelle,James_Kelly,Robert_Zoellick,Ron_Dittemore,William_Ford_Jr,Aron_Ralston
vggface2,full_image,probe/Alastair_Campbell/Alastair_Campbell_0002.jpg,Alastair_Campbell,1,1.0,0.8209539651870728,0.8209539651870728,Alastair_Campbell,Fred_Funk,Paul_McCartney,Tim_Floyd,Bill_Belichick,David_Nalbandian,Prince_Willem-Alexander,Biljana_Plavsic,George_Robertson,Paul_Bremer
vggface2,full_image,probe/Albert_Costa/Albert_Costa_0002.jpg,Albert_Costa,1,1.0,0.8408523201942444,0.8408523201942444,Albert_Costa,Oscar_De_La_Hoya,Demetrius_Ferraciu,Pete_Sampras,Justin_Leonard,Juan_Pablo_Montoya,Silvia_Farina_Elia,Bernardo_Segura,Marat_Safin,Hayley_Tullett
vggface2,full_image,probe/Alberto_Fujimori/Alberto_Fujimori_0002.jpg,Alberto_Fujimori,10,0.1,0.7344411611557007,0.6164813041687012,Lee_Hoi-chang,Kim_Dae-jung,Li_Peng,Miguel_Contreras,Hun_Sen,Alejandro_Toledo,Hu_Jintao,Eduardo_Duhalde,Liu_Mingkang,Alberto_Fujimori
vggface2,full_image,probe/Alberto_Ruiz_Gallardon/Alberto_Ruiz_Gallardon_0002.jpg,Alberto_Ruiz_Gallardon,1,1.0,0.7562832236289978,0.7562832236289978,Alberto_Ruiz_Gallardon,Alvaro_Uribe,Ron_Dittemore,Spencer_Abraham,Munir_Akram,Jack_Straw,Pedro_Malan,Jean-Marc_de_La_Sabliere,Antony_Leung,Larry_Brown
vggface2,full_image,probe/Albrecht_Mentz/Albrecht_Mentz_0002.jpg,Albrecht_Mentz,1,1.0,0.8346620798110962,0.8346620798110962,Albrecht_Mentz,Jack_Straw,Gregory_Geoffroy,Mohamed_Benaissa,Jean-Marc_de_La_Sabliere,Wang_Yingfan,Tom_Craddick,Gerry_Adams,Vaclav_Havel,Jose_Sarney
vggface2,full_image,probe/Aldo_Paredes/Aldo_Paredes_0002.jpg,Aldo_Paredes,2,0.5,0.4955972731113434,0.49034008383750916,Michael_Chang,Aldo_Paredes,Guillermo_Coria,Bernardo_Segura,Taufik_Hidayat,Mike_Miller,Martha_Burk,Elijah_Wood,Kelli_White,Juan_Pablo_Montoya
vggface2,full_image,probe/Alec_Baldwin/Alec_Baldwin_0002.jpg,Alec_Baldwin,1,1.0,0.726233720779419,0.726233720779419,Alec_Baldwin,Jean-David_Levitte,Ronald_Reagan,Abdullatif_Sener,Joerg_Haider,Oswaldo_Paya,Simon_Cowell,Paul_Bremer,Robert_De_Niro,Hashim_Thaci
vggface2,full_image,probe/Alejandro_Atchugarry/Alejandro_Atchugarry_0002.jpg,Alejandro_Atchugarry,1,1.0,0.6556289792060852,0.6556289792060852,Alejandro_Atchugarry,Bob_Beauprez,John_Malkovich,Jason_Kidd,Xanana_Gusmao,Vladimir_Putin,Fidel_Castro,Hector_Babenco,Prince_Edward,Herb_Sendek
vggface2,full_image,probe/Alejandro_Avila/Alejandro_Avila_0002.jpg,Alejandro_Avila,1,1.0,0.6650445461273193,0.6650445461273193,Alejandro_Avila,John_Ruiz,Emanuel_Ginobili,Antonio_Banderas,Oscar_De_La_Hoya,Marco_Antonio_Barrera,Mark_Dacey,Marcelo_Salas,Kifah_Ajouri,Mohammad_Khatami
vggface2,full_image,probe/Alejandro_Toledo/Alejandro_Toledo_0002.jpg,Alejandro_Toledo,1,1.0,0.8199896812438965,0.8199896812438965,Alejandro_Toledo,Lee_Tae-sik,Adolfo_Aguilar_Zinser,Lee_Jun,Mitoji_Yabunaka,Kent_Rominger,Jean-David_Levitte,Tony_Bennett,Eduardo_Duhalde,Bill_Sizemore
vggface2,full_image,probe/Aleksander_Kwasniewski/Aleksander_Kwasniewski_0002.jpg,Aleksander_Kwasniewski,1,1.0,0.7991516590118408,0.7991516590118408,Aleksander_Kwasniewski,Prince_Willem-Alexander,Dave_Campo,Tim_Floyd,Goran_Persson,James_Kelly,Anthony_Hopkins,Roman_Polanski,Paul_McCartney,Vaclav_Havel
vggface2,full_image,probe/Alex_Barros/Alex_Barros_0002.jpg,Alex_Barros,1,1.0,0.5755784511566162,0.5755784511566162,Alex_Barros,Sourav_Ganguly,Abdullah_al-Attiyah,Marco_Antonio_Barrera,Paul_ONeill,Mark_Heller,Justin_Guarini,John_F_Kennedy_Jr,Peter_Struck,John_Negroponte
vggface2,full_image,probe/Alex_Penelas/Alex_Penelas_0002.jpg,Alex_Penelas,1,1.0,0.6970176100730896,0.6970176100730896,Alex_Penelas,Pete_Sampras,Mario_Dumont,Thomas_Fargo,Saparmurat_Niyazov,Luis_Figo,Jose_Theodore,Kiki_Vandeweghe,Antonio_Banderas,Daniel_Day-Lewis
vggface2,full_image,probe/Alexander_Losyukov/Alexander_Losyukov_0002.jpg,Alexander_Losyukov,1,1.0,0.7526675462722778,0.7526675462722778,Alexander_Losyukov,Howard_Dean,Cesar_Maia,Bo_Ryan,Magui_Serna,Paul_William_Hurley,Spencer_Abraham,John_McCallum,Scott_McClellan,Frank_Solich
vggface2,full_image,probe/Alexander_Rumyantsev/Alexander_Rumyantsev_0002.jpg,Alexander_Rumyantsev,1,1.0,0.8205557465553284,0.8205557465553284,Alexander_Rumyantsev,Tony_Bennett,Alexander_Losyukov,Andrew_Bunner,Boris_Berezovsky,Nicanor_Duarte_Frutos,Jack_Straw,Michel_Temer,Joseph_Blatter,Gray_Davis
vggface2,full_image,probe/Alexandra_Stevenson/Alexandra_Stevenson_0002.jpg,Alexandra_Stevenson,1,1.0,0.8364079594612122,0.8364079594612122,Alexandra_Stevenson,Kelli_White,Fabiola_Zuluaga,Chanda_Rubin,Patty_Schnyder,Monica_Seles,Venus_Williams,Paul_Pierce,Megawati_Sukarnoputri,Heidi_Fleiss
vggface2,full_image,probe/Alexandra_Vodjanikova/Alexandra_Vodjanikova_0002.jpg,Alexandra_Vodjanikova,1,1.0,0.6100103855133057,0.6100103855133057,Alexandra_Vodjanikova,Mary_Carey,Brooke_Shields,Mike_Weir,Lindsay_Benko,Geoff_Hoon,Joseph_Ralston,Jennifer_Reilly,Amelia_Vega,Sarah_Jessica_Parker
vggface2,full_image,probe/Ali_Abbas/Ali_Abbas_0002.jpg,Ali_Abbas,1,1.0,0.7743628025054932,0.7743628025054932,Ali_Abbas,Hitomi_Soga,Gloria_Macapagal_Arroyo,Desiree_Lemosi,Intisar_Ajouri,Zarai_Toledo,Anna_Kournikova,Drew_Barrymore,Hamzah_Haz,Spencer_Abraham
vggface2,full_image,probe/Ali_Khamenei/Ali_Khamenei_0002.jpg,Ali_Khamenei,1,1.0,0.9453231692314148,0.9453231692314148,Ali_Khamenei,Sean_Patrick_OMalley,Osama_bin_Laden,Mohammad_Khatami,Inam-ul-Haq,Carlos_Mesa,Francis_Ford_Coppola,Pupi_Avati,Hassan_Nasrallah,Abdullah
vggface2,full_image,probe/Alice_Fisher/Alice_Fisher_0002.jpg,Alice_Fisher,1,1.0,0.910403847694397,0.910403847694397,Alice_Fisher,Blythe_Danner,Shannon_OBrien,Ellen_DeGeneres,Eva_Dimas,Meryl_Streep,Mary_Landrieu,Paula_Radcliffe,Carla_Myers,Carolyn_Dawn_Johnson
vggface2,full_image,probe/Alicia_Silverstone/Alicia_Silverstone_0002.jpg,Alicia_Silverstone,1,1.0,0.5531983375549316,0.5531983375549316,Alicia_Silverstone,Drew_Barrymore,Natalie_Maines,Reese_Witherspoon,Jennifer_Reilly,Natalie_Coughlin,Elin_Nordegren,Cameron_Diaz,Mary_Landrieu,Bridget_Fonda
vggface2,full_image,probe/Alimzhan_Tokhtakhounov/Alimzhan_Tokhtakhounov_0002.jpg,Alimzhan_Tokhtakhounov,1,1.0,0.7339650392532349,0.7339650392532349,Alimzhan_Tokhtakhounov,Prince_Naruhito,Edward_Lu,Kim_Ryong-sung,Alejandro_Toledo,Jamling_Norgay,Nicanor_Duarte_Frutos,Jia_Qinglin,Eduardo_Duhalde,Hu_Jintao
vggface2,full_image,probe/Alison_Lohman/Alison_Lohman_0002.jpg,Alison_Lohman,1,1.0,0.5954803228378296,0.5954803228378296,Alison_Lohman,Isabelle_Huppert,Charlotte_Rampling,Dominik_Garcia-Lorido,Kathleen_Kennedy_Townsend,Cristina_Fernandez,Meryl_Streep,Elijah_Wood,Barbara_Walters,Daryl_Hannah
vggface2,full_image,probe/Allen_Iverson/Allen_Iverson_0002.jpg,Allen_Iverson,1,1.0,0.8933968544006348,0.8933968544006348,Allen_Iverson,Charles_Kartman,Juan_Pablo_Montoya,Augustin_Calleri,Anwar_Ibrahim,Anna_Kournikova,John_Allen_Muhammad,Bill_Gates,Lionel_Richie,Byron_Scott
