trial_index,seed,gallery_images_per_identity,identity_count,probe_count,gallery_image_count,top_1,top_3,top_5,top_10,mrr,mean_true_identity_rank,median_true_identity_rank
0,20260825,1,123,123,123,0.9349593495934959,0.959349593495935,0.959349593495935,0.959349593495935,0.9473481867210091,2.341463414634146,1.0
0,20260825,2,123,123,246,0.975609756097561,0.983739837398374,0.983739837398374,0.983739837398374,0.9803184281842818,1.6097560975609757,1.0
0,20260825,3,123,123,369,0.983739837398374,0.983739837398374,0.983739837398374,0.983739837398374,0.9842641687286438,1.7073170731707317,1.0
0,20260825,4,123,123,492,0.983739837398374,0.983739837398374,0.983739837398374,0.983739837398374,0.9842870544090057,1.4959349593495934,1.0
0,20260825,5,123,123,615,0.991869918699187,0.991869918699187,0.991869918699187,0.991869918699187,0.9922086720867209,1.1869918699186992,1.0
1,20260826,1,123,123,123,0.9349593495934959,0.943089430894309,0.9512195121951219,0.959349593495935,0.9417577198121725,2.5853658536585367,1.0
1,20260826,2,123,123,246,0.967479674796748,0.975609756097561,0.975609756097561,0.975609756097561,0.9709666254271239,1.829268292682927,1.0
1,20260826,3,123,123,369,0.983739837398374,0.983739837398374,0.983739837398374,0.983739837398374,0.9842001530063148,1.5609756097560976,1.0
1,20260826,4,123,123,492,0.983739837398374,0.983739837398374,0.983739837398374,0.983739837398374,0.9842286486525342,1.5365853658536586,1.0
1,20260826,5,123,123,615,0.991869918699187,0.991869918699187,0.991869918699187,0.991869918699187,0.9921321793863099,1.2439024390243902,1.0
2,20260827,1,123,123,123,0.9105691056910569,0.9349593495934959,0.9512195121951219,0.9512195121951219,0.9280934273124383,3.2357723577235773,1.0
2,20260827,2,123,123,246,0.991869918699187,0.991869918699187,0.991869918699187,0.991869918699187,0.9921602787456446,1.2195121951219512,1.0
2,20260827,3,123,123,369,0.991869918699187,0.991869918699187,0.991869918699187,0.991869918699187,0.9920957542908762,1.2845528455284554,1.0
2,20260827,4,123,123,492,0.991869918699187,0.991869918699187,0.991869918699187,0.991869918699187,0.9921409214092141,1.2357723577235773,1.0
2,20260827,5,123,123,615,0.991869918699187,0.991869918699187,0.991869918699187,0.991869918699187,0.9921409214092141,1.2357723577235773,1.0
3,20260828,1,123,123,123,0.9512195121951219,0.967479674796748,0.975609756097561,0.975609756097561,0.960695052250922,2.2439024390243905,1.0
3,20260828,2,123,123,246,0.983739837398374,0.983739837398374,0.983739837398374,0.983739837398374,0.9842524730666025,1.5040650406504066,1.0
3,20260828,3,123,123,369,0.991869918699187,0.991869918699187,0.991869918699187,0.991869918699187,0.9921022067363531,1.2764227642276422,1.0
3,20260828,4,123,123,492,0.991869918699187,0.991869918699187,0.991869918699187,0.991869918699187,0.9921826141338336,1.2032520325203253,1.0
3,20260828,5,123,123,615,0.991869918699187,0.991869918699187,0.991869918699187,0.991869918699187,0.9921710328214394,1.2113821138211383,1.0
4,20260829,1,123,123,123,0.9512195121951219,0.959349593495935,0.967479674796748,0.975609756097561,0.9593604830000247,2.4552845528455283,1.0
4,20260829,2,123,123,246,0.983739837398374,0.983739837398374,0.983739837398374,0.983739837398374,0.9844401175104188,1.6504065040650406,1.0
4,20260829,3,123,123,369,0.983739837398374,0.983739837398374,0.983739837398374,0.983739837398374,0.9842693624304665,1.7886178861788617,1.0
4,20260829,4,123,123,492,0.983739837398374,0.983739837398374,0.983739837398374,0.983739837398374,0.9841629934371634,1.8617886178861789,1.0
4,20260829,5,123,123,615,0.983739837398374,0.983739837398374,0.983739837398374,0.983739837398374,0.9841438639421557,1.8455284552845528,1.0
5,20260830,1,123,123,123,0.967479674796748,0.975609756097561,0.975609756097561,0.975609756097561,0.972124705074544,2.3739837398373984,1.0
5,20260830,2,123,123,246,0.983739837398374,0.983739837398374,0.983739837398374,0.983739837398374,0.9843762831567711,1.4878048780487805,1.0
5,20260830,3,123,123,369,0.983739837398374,0.983739837398374,0.983739837398374,0.983739837398374,0.9842527325529009,1.5853658536585367,1.0
5,20260830,4,123,123,492,0.983739837398374,0.983739837398374,0.983739837398374,0.983739837398374,0.9842155977115328,1.6260162601626016,1.0
5,20260830,5,123,123,615,0.983739837398374,0.983739837398374,0.983739837398374,0.983739837398374,0.9841880341880341,1.6829268292682926,1.0
6,20260831,1,123,123,123,0.9512195121951219,0.959349593495935,0.959349593495935,0.959349593495935,0.9563201709085857,2.747967479674797,1.0
6,20260831,2,123,123,246,0.975609756097561,0.983739837398374,0.983739837398374,0.983739837398374,0.9803421084826444,1.4796747967479675,1.0
6,20260831,3,123,123,369,0.983739837398374,0.983739837398374,0.983739837398374,0.983739837398374,0.984299964580193,1.5365853658536586,1.0
6,20260831,4,123,123,492,0.983739837398374,0.983739837398374,0.983739837398374,0.983739837398374,0.984291613859935,1.5040650406504066,1.0
6,20260831,5,123,123,615,0.983739837398374,0.983739837398374,0.983739837398374,0.983739837398374,0.9842592592592593,1.5447154471544715,1.0
7,20260832,1,123,123,123,0.959349593495935,0.959349593495935,0.959349593495935,0.959349593495935,0.960825359646199,2.5528455284552845,1.0
7,20260832,2,123,123,246,0.983739837398374,0.983739837398374,0.983739837398374,0.983739837398374,0.9843010164355311,1.6341463414634145,1.0
7,20260832,3,123,123,369,0.983739837398374,0.983739837398374,0.983739837398374,0.983739837398374,0.9841964180511371,1.7398373983739837,1.0
