candidate_count,probe_count,correct_probes,missed_probes,top_n_accuracy,newly_recovered_probes,accuracy_gain_from_previous_n,candidate_review_slots
1,999,932,67,0.9329329329329329,932,0.9329329329329329,999
2,999,943,56,0.943943943943944,11,0.011011011011011011,1998
3,999,947,52,0.9479479479479479,4,0.004004004004004004,2997
4,999,949,50,0.94994994994995,2,0.002002002002002002,3996
5,999,950,49,0.950950950950951,1,0.001001001001001001,4995
6,999,950,49,0.950950950950951,0,0.0,5994
7,999,951,48,0.9519519519519519,1,0.001001001001001001,6993
8,999,951,48,0.9519519519519519,0,0.0,7992
9,999,952,47,0.9529529529529529,1,0.001001001001001001,8991
10,999,953,46,0.953953953953954,1,0.001001001001001001,9990
11,999,953,46,0.953953953953954,0,0.0,10989
12,999,953,46,0.953953953953954,0,0.0,11988
13,999,953,46,0.953953953953954,0,0.0,12987
14,999,953,46,0.953953953953954,0,0.0,13986
15,999,953,46,0.953953953953954,0,0.0,14985
16,999,953,46,0.953953953953954,0,0.0,15984
17,999,953,46,0.953953953953954,0,0.0,16983
18,999,953,46,0.953953953953954,0,0.0,17982
19,999,953,46,0.953953953953954,0,0.0,18981
20,999,953,46,0.953953953953954,0,0.0,19980
21,999,953,46,0.953953953953954,0,0.0,20979
22,999,953,46,0.953953953953954,0,0.0,21978
23,999,953,46,0.953953953953954,0,0.0,22977
24,999,953,46,0.953953953953954,0,0.0,23976
25,999,953,46,0.953953953953954,0,0.0,24975
26,999,953,46,0.953953953953954,0,0.0,25974
27,999,953,46,0.953953953953954,0,0.0,26973
28,999,954,45,0.954954954954955,1,0.001001001001001001,27972
29,999,954,45,0.954954954954955,0,0.0,28971
30,999,954,45,0.954954954954955,0,0.0,29970
31,999,954,45,0.954954954954955,0,0.0,30969
32,999,954,45,0.954954954954955,0,0.0,31968
33,999,954,45,0.954954954954955,0,0.0,32967
34,999,954,45,0.954954954954955,0,0.0,33966
35,999,954,45,0.954954954954955,0,0.0,34965
36,999,954,45,0.954954954954955,0,0.0,35964
37,999,954,45,0.954954954954955,0,0.0,36963
38,999,954,45,0.954954954954955,0,0.0,37962
39,999,954,45,0.954954954954955,0,0.0,38961
40,999,954,45,0.954954954954955,0,0.0,39960
41,999,954,45,0.954954954954955,0,0.0,40959
42,999,954,45,0.954954954954955,0,0.0,41958
43,999,954,45,0.954954954954955,0,0.0,42957
44,999,954,45,0.954954954954955,0,0.0,43956
45,999,954,45,0.954954954954955,0,0.0,44955
46,999,954,45,0.954954954954955,0,0.0,45954
47,999,954,45,0.954954954954955,0,0.0,46953
48,999,954,45,0.954954954954955,0,0.0,47952
49,999,954,45,0.954954954954955,0,0.0,48951
50,999,955,44,0.955955955955956,1,0.001001001001001001,49950
